#国家名称|||区号|||是否开启|||手机正则
白俄罗斯|||375|||0|||^(00){0,1}(375){0,1}\d{6,12}$
喀麦隆|||237|||0|||^(00){0,1}(237){0,1}\d{6,15}$
赞比亚|||260|||0|||^(00){0,1}(260){0,1}\d{6,15}$
加蓬|||241|||0|||^(00){0,1}(241){0,1}\d{6,15}$
巴西|||55|||0|||^(00){0,1}(55){0,1}\d{6,12}$
埃及|||20|||0|||^(00){0,1}(20){0,1}\d{6,12}$
乍得|||235|||0|||^(00){0,1}(235){0,1}\d{6,15}$
多哥|||228|||0|||^(00){0,1}(228){0,1}\d{6,15}$
马来西亚|||60|||0|||^(00){0,1}(60){0,1}1\d{8,9}$
丹麦|||45|||0|||^(00){0,1}(45){0,1}\d{6,12}$
尼加拉瓜|||505|||0|||^(00){0,1}(505){0,1}\d{6,15}$
阿尔巴尼亚|||355|||0|||^(00){0,1}(355){0,1}\d{6,15}$
瑞士|||41|||0|||^(00){0,1}(41){0,1}\d{6,12}$
韩国|||82|||0|||^(00){0,1}(82){0,1}0{0,1}[7,1](?:\d{8}|\d{9})$
乌兹别克斯坦|||998|||0|||^(00){0,1}(998){0,1}\d{6,15}$
吉尔吉斯斯坦|||996|||0|||^(00){0,1}(996){0,1}\d{6,12}$
泰国|||66|||0|||^(00){0,1}(66){0,1}[13456789]\d{7,8}$
西班牙|||34|||0|||^(00){0,1}(34){0,1}\d{6,12}$
摩尔多瓦|||373|||0|||^(00){0,1}(373){0,1}\d{6,15}$
塞内加尔|||221|||0|||^(00){0,1}(221){0,1}\d{6,15}$
南非|||27|||0|||^(00){0,1}(27){0,1}\d{6,12}$
德国|||49|||0|||^(00){0,1}(49){0,1}1(\d{5,6}|\d{9,12})$
纳米比亚|||264|||0|||^(00){0,1}(264){0,1}\d{6,15}$
玻利维亚|||591|||0|||^(00){0,1}(591){0,1}\d{6,15}$
津巴布韦|||263|||0|||^(00){0,1}(263){0,1}\d{6,15}$
蒙古|||976|||0|||^(00){0,1}(976){0,1}\d{6,12}$
文莱|||673|||0|||^(00){0,1}(673){0,1}\d{6,15}$
马里|||223|||0|||^(00){0,1}(223){0,1}\d{6,15}$
沙特阿拉伯|||966|||0|||^(00){0,1}(966){0,1}\d{6,12}$
卢旺达|||250|||0|||^(00){0,1}(250){0,1}\d{6,15}$
安哥拉|||244|||0|||^(00){0,1}(244){0,1}\d{6,15}$
新加坡|||65|||1|||^(00){0,1}(65){0,1}[13689]\d{6,7}$
瑞典|||46|||0|||^(00){0,1}(46){0,1}[124-7](\d{8}|\d{10}|\d{12})$
格鲁吉亚|||995|||0|||^(00){0,1}(995){0,1}\d{6,15}$
新西兰|||64|||0|||^(00){0,1}(64){0,1}[278]\d{7,9}$
爱沙尼亚|||372|||0|||^(00){0,1}(372){0,1}\d{6,12}$
毛里求斯|||230|||0|||^(00){0,1}(230){0,1}\d{6,15}$
贝宁|||229|||0|||^(00){0,1}(229){0,1}\d{6,15}$
突尼斯|||216|||0|||^(00){0,1}(216){0,1}\d{6,12}$
危地马拉|||502|||0|||^(00){0,1}(502){0,1}\d{6,15}$
吉布提|||253|||0|||^(00){0,1}(253){0,1}\d{6,15}$
斯洛伐克|||421|||0|||^(00){0,1}(421){0,1}\d{6,15}$
墨西哥|||52|||0|||^(00){0,1}(52){0,1}\d{6,12}$
柬埔寨|||855|||0|||^(00){0,1}(855){0,1}\d{6,12}$
萨尔瓦多|||503|||0|||^(00){0,1}(503){0,1}\d{6,15}$
几内亚|||224|||0|||^(00){0,1}(224){0,1}\d{6,15}$
坦桑尼亚|||255|||0|||^(00){0,1}(255){0,1}\d{6,15}$
马达加斯加|||261|||0|||^(00){0,1}(261){0,1}\d{6,15}$
伯利兹|||501|||0|||^(00){0,1}(501){0,1}\d{6,12}$
几内亚比绍|||245|||0|||^(00){0,1}(245){0,1}\d{6,15}$
巴拿马|||507|||0|||^(00){0,1}(507){0,1}\d{6,12}$
莱索托|||266|||0|||^(00){0,1}(266){0,1}\d{6,15}$
克罗地亚|||385|||0|||^(00){0,1}(385){0,1}\d{6,15}$
